hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2666.61, -4.45479, 2786.86, -124.146, 2741.04, 113.547, 23.1014, 1.35415, 26.0188, -169.616, 4.83822, 58.9187
2, 0.00000, 2673.66, -4.02044, 2807.52, -124.046, 2741.6, 113.565, 23.2366, 1.66936, 26.1842, -169.398, 4.84215, 58.7699
3, 0.00000, 2672.89, -4.06813, 2805.26, -124.057, 2741.55, 113.563, 23.2216, 1.63475, 26.1658, -169.423, 4.8414, 58.7845
4, 0.00000, 2669.78, -4.26073, 2796.1, -124.101, 2741.3, 113.556, 23.1618, 1.49477, 26.0927, -169.52, 4.83983, 58.8513
5, 0.00000, 2665.84, -4.50317, 2784.56, -124.157, 2740.99, 113.546, 23.0862, 1.31883, 26.0002, -169.641, 4.83767, 58.9351
6, 0.00000, 2666.63, -4.45479, 2786.86, -124.146, 2741.04, 113.548, 23.1015, 1.35393, 26.0189, -169.616, 4.83838, 58.9198
7, 0.00000, 2668.21, -4.35753, 2791.49, -124.124, 2741.17, 113.552, 23.1317, 1.42448, 26.0559, -169.568, 4.83907, 58.8852
8, 0.00000, 2673.66, -4.02042, 2807.53, -124.046, 2741.6, 113.565, 23.2366, 1.66938, 26.1842, -169.398, 4.84212, 58.7698
9, 0.00000, 2675.97, -3.87712, 2814.34, -124.012, 2741.78, 113.571, 23.281, 1.77367, 26.2386, -169.326, 4.84333, 58.7207
10, 0.00000, 2667.42, -4.40587, 2789.19, -124.134, 2741.12, 113.55, 23.1165, 1.38941, 26.0373, -169.593, 4.83844, 58.9008
11, 0.00000, 2666.63, -4.45437, 2786.88, -124.145, 2741.05, 113.548, 23.1014, 1.35421, 26.0187, -169.617, 4.83798, 58.9175
12, 0.00000, 2668.21, -4.35753, 2791.49, -124.124, 2741.17, 113.552, 23.1317, 1.42448, 26.0559, -169.568, 4.83907, 58.8852
13, 0.00000, 2673.66, -4.02042, 2807.53, -124.046, 2741.6, 113.565, 23.2366, 1.66938, 26.1842, -169.398, 4.84212, 58.7698
14, 0.00000, 2675.97, -3.87712, 2814.34, -124.012, 2741.78, 113.571, 23.281, 1.77367, 26.2386, -169.326, 4.84333, 58.7207
15, 0.00000, 2667.42, -4.40587, 2789.19, -124.134, 2741.12, 113.55, 23.1165, 1.38941, 26.0373, -169.593, 4.83844, 58.9008
16, 0.00000, 2666.63, -4.45437, 2786.88, -124.145, 2741.05, 113.548, 23.1014, 1.35421, 26.0187, -169.617, 4.83798, 58.9175
17, 0.00000, 2668.21, -4.35753, 2791.49, -124.124, 2741.17, 113.552, 23.1317, 1.42448, 26.0559, -169.568, 4.83907, 58.8852
18, 0.00000, 2673.66, -4.02042, 2807.53, -124.046, 2741.6, 113.565, 23.2366, 1.66938, 26.1842, -169.398, 4.84212, 58.7698
19, 0.00000, 2675.97, -3.87712, 2814.34, -124.012, 2741.78, 113.571, 23.281, 1.77367, 26.2386, -169.326, 4.84333, 58.7207
20, 0.00000, 2667.42, -4.40587, 2789.19, -124.134, 2741.12, 113.55, 23.1165, 1.38941, 26.0373, -169.593, 4.83844, 58.9008
21, 0.00000, 2666.63, -4.45437, 2786.88, -124.145, 2741.05, 113.548, 23.1014, 1.35421, 26.0187, -169.617, 4.83798, 58.9175
22, 0.00000, 2666.63, -4.45458, 2786.87, -124.146, 2741.05, 113.548, 23.1014, 1.35407, 26.0188, -169.617, 4.83818, 58.9186
23, 0.00000, 2673.66, -4.02044, 2807.52, -124.046, 2741.6, 113.565, 23.2366, 1.66936, 26.1842, -169.398, 4.84215, 58.7699
24, 0.00000, 2672.89, -4.06813, 2805.26, -124.057, 2741.55, 113.563, 23.2216, 1.63475, 26.1658, -169.423, 4.8414, 58.7845
