hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2666.61, -4.45479, 2786.86, -124.146, 2741.04, 113.547, 41.2463, 148.906, 72.2681, 42.5746, 72.4398, -104.304
2, 0.00000, 2673.66, -4.02044, 2807.52, -124.046, 2741.6, 113.565, 41.3612, 149.288, 72.5164, 42.4993, 72.3646, -104.325
3, 0.00000, 2672.89, -4.06813, 2805.26, -124.057, 2741.55, 113.563, 41.3484, 149.246, 72.4854, 42.5057, 72.3686, -104.323
4, 0.00000, 2669.78, -4.26073, 2796.1, -124.101, 2741.3, 113.556, 41.2964, 149.078, 72.3772, 42.5398, 72.4031, -104.314
5, 0.00000, 2665.84, -4.50317, 2784.56, -124.157, 2740.99, 113.546, 41.2312, 148.866, 72.2388, 42.5829, 72.4448, -104.303
6, 0.00000, 2666.63, -4.45479, 2786.86, -124.146, 2741.04, 113.548, 41.2443, 148.908, 72.2698, 42.5756, 72.4402, -104.305
7, 0.00000, 2668.21, -4.35753, 2791.49, -124.124, 2741.17, 113.552, 41.2705, 148.993, 72.3232, 42.5573, 72.4212, -104.31
8, 0.00000, 2673.66, -4.02042, 2807.53, -124.046, 2741.6, 113.565, 41.3612, 149.288, 72.5161, 42.4991, 72.3642, -104.325
9, 0.00000, 2675.97, -3.87712, 2814.34, -124.012, 2741.78, 113.571, 41.3996, 149.414, 72.597, 42.4747, 72.3389, -104.332
10, 0.00000, 2667.42, -4.40587, 2789.19, -124.134, 2741.12, 113.55, 41.2572, 148.951, 72.2931, 42.5649, 72.4266, -104.308
11, 0.00000, 2666.63, -4.45437, 2786.88, -124.145, 2741.05, 113.548, 41.2445, 148.908, 72.2652, 42.5735, 72.4349, -104.305
12, 0.00000, 2668.21, -4.35753, 2791.49, -124.124, 2741.17, 113.552, 41.2705, 148.993, 72.3232, 42.5573, 72.4212, -104.31
13, 0.00000, 2673.66, -4.02042, 2807.53, -124.046, 2741.6, 113.565, 41.3612, 149.288, 72.5161, 42.4991, 72.3642, -104.325
14, 0.00000, 2675.97, -3.87712, 2814.34, -124.012, 2741.78, 113.571, 41.3996, 149.414, 72.597, 42.4747, 72.3389, -104.332
15, 0.00000, 2667.42, -4.40587, 2789.19, -124.134, 2741.12, 113.55, 41.2572, 148.951, 72.2931, 42.5649, 72.4266, -104.308
16, 0.00000, 2666.63, -4.45437, 2786.88, -124.145, 2741.05, 113.548, 41.2445, 148.908, 72.2652, 42.5735, 72.4349, -104.305
17, 0.00000, 2668.21, -4.35753, 2791.49, -124.124, 2741.17, 113.552, 41.2705, 148.993, 72.3232, 42.5573, 72.4212, -104.31
18, 0.00000, 2673.66, -4.02042, 2807.53, -124.046, 2741.6, 113.565, 41.3612, 149.288, 72.5161, 42.4991, 72.3642, -104.325
19, 0.00000, 2675.97, -3.87712, 2814.34, -124.012, 2741.78, 113.571, 41.3996, 149.414, 72.597, 42.4747, 72.3389, -104.332
20, 0.00000, 2667.42, -4.40587, 2789.19, -124.134, 2741.12, 113.55, 41.2572, 148.951, 72.2931, 42.5649, 72.4266, -104.308
21, 0.00000, 2666.63, -4.45437, 2786.88, -124.145, 2741.05, 113.548, 41.2445, 148.908, 72.2652, 42.5735, 72.4349, -104.305
22, 0.00000, 2666.63, -4.45458, 2786.87, -124.146, 2741.05, 113.548, 41.2444, 148.908, 72.2675, 42.5745, 72.4376, -104.305
23, 0.00000, 2673.66, -4.02044, 2807.52, -124.046, 2741.6, 113.565, 41.3612, 149.288, 72.5164, 42.4993, 72.3646, -104.325
24, 0.00000, 2672.89, -4.06813, 2805.26, -124.057, 2741.55, 113.563, 41.3484, 149.246, 72.4854, 42.5057, 72.3686, -104.323
