hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2685.59, -3.66252, 2819.01, -124.002, 2739.86, 113.776, 21.2434, -56.0455, 20.8208, -125.05, 34.6661, 89.8478
2, 0.00000, 2685.88, -3.64545, 2819.82, -123.998, 2739.88, 113.777, 21.2425, -56.0332, 20.8248, -125.052, 34.6657, 89.8487
3, 0.00000, 2685.83, -3.64879, 2819.67, -123.998, 2739.88, 113.777, 21.2423, -56.0355, 20.824, -125.051, 34.6655, 89.8483
4, 0.00000, 2685.61, -3.66235, 2819.02, -124.001, 2739.87, 113.777, 21.2417, -56.0447, 20.8209, -125.05, 34.6646, 89.8467
5, 0.00000, 2685.33, -3.67932, 2818.21, -124.005, 2739.85, 113.776, 21.2409, -56.0562, 20.8169, -125.048, 34.6634, 89.8446
6, 0.00000, 2685.39, -3.67597, 2818.37, -124.005, 2739.85, 113.776, 21.241, -56.0539, 20.8177, -125.049, 34.6635, 89.845
7, 0.00000, 2685.5, -3.66919, 2818.69, -124.003, 2739.86, 113.776, 21.2413, -56.0493, 20.8192, -125.049, 34.664, 89.8458
8, 0.00000, 2685.88, -3.64546, 2819.82, -123.998, 2739.88, 113.777, 21.2424, -56.0332, 20.8247, -125.052, 34.6656, 89.8487
9, 0.00000, 2686.05, -3.63525, 2820.31, -123.995, 2739.9, 113.778, 21.243, -56.0263, 20.8271, -125.053, 34.6664, 89.85
10, 0.00000, 2685.44, -3.67248, 2818.54, -124.004, 2739.86, 113.776, 21.2413, -56.0515, 20.8185, -125.049, 34.6639, 89.8455
11, 0.00000, 2685.39, -3.67596, 2818.37, -124.005, 2739.85, 113.776, 21.241, -56.0539, 20.8177, -125.049, 34.6636, 89.845
12, 0.00000, 2685.5, -3.66919, 2818.69, -124.003, 2739.86, 113.776, 21.2413, -56.0493, 20.8192, -125.049, 34.664, 89.8458
13, 0.00000, 2685.88, -3.64546, 2819.82, -123.998, 2739.88, 113.777, 21.2424, -56.0332, 20.8247, -125.052, 34.6656, 89.8487
14, 0.00000, 2686.05, -3.63525, 2820.31, -123.995, 2739.9, 113.778, 21.243, -56.0263, 20.8271, -125.053, 34.6664, 89.85
15, 0.00000, 2685.44, -3.67248, 2818.54, -124.004, 2739.86, 113.776, 21.2413, -56.0515, 20.8185, -125.049, 34.6639, 89.8455
16, 0.00000, 2685.39, -3.67596, 2818.37, -124.005, 2739.85, 113.776, 21.241, -56.0539, 20.8177, -125.049, 34.6636, 89.845
17, 0.00000, 2685.5, -3.66919, 2818.69, -124.003, 2739.86, 113.776, 21.2413, -56.0493, 20.8192, -125.049, 34.664, 89.8458
18, 0.00000, 2685.88, -3.64546, 2819.82, -123.998, 2739.88, 113.777, 21.2424, -56.0332, 20.8247, -125.052, 34.6656, 89.8487
19, 0.00000, 2686.05, -3.63525, 2820.31, -123.995, 2739.9, 113.778, 21.243, -56.0263, 20.8271, -125.053, 34.6664, 89.85
20, 0.00000, 2685.44, -3.67248, 2818.54, -124.004, 2739.86, 113.776, 21.2413, -56.0515, 20.8185, -125.049, 34.6639, 89.8455
21, 0.00000, 2685.39, -3.67596, 2818.37, -124.005, 2739.85, 113.776, 21.241, -56.0539, 20.8177, -125.049, 34.6636, 89.845
22, 0.00000, 2685.61, -3.66241, 2819.02, -124.002, 2739.86, 113.777, 21.2416, -56.0447, 20.8208, -125.05, 34.6645, 89.8466
23, 0.00000, 2685.88, -3.64545, 2819.82, -123.998, 2739.88, 113.777, 21.2425, -56.0332, 20.8248, -125.052, 34.6657, 89.8487
24, 0.00000, 2685.83, -3.64879, 2819.67, -123.998, 2739.88, 113.777, 21.2423, -56.0355, 20.824, -125.051, 34.6655, 89.8483
