hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2708.47, -3.56677, 2834.96, -123.898, 2759.26, 114.029, 268.381, -34.2096, 222.028, -152.644, 254.123, 95.5889
2, 0.00000, 2708.76, -3.54977, 2835.77, -123.894, 2759.28, 114.03, 268.37, -34.1991, 222.043, -152.638, 254.107, 95.593
3, 0.00000, 2708.71, -3.5531, 2835.61, -123.895, 2759.28, 114.03, 268.37, -34.2014, 222.036, -152.639, 254.108, 95.5923
4, 0.00000, 2708.49, -3.5666, 2834.97, -123.898, 2759.27, 114.029, 268.372, -34.2095, 222.021, -152.644, 254.116, 95.5888
5, 0.00000, 2708.21, -3.5835, 2834.16, -123.902, 2759.25, 114.028, 268.375, -34.2195, 222.004, -152.65, 254.126, 95.5844
6, 0.00000, 2708.27, -3.58016, 2834.32, -123.901, 2759.25, 114.028, 268.376, -34.2172, 222.01, -152.649, 254.125, 95.5851
7, 0.00000, 2708.38, -3.57341, 2834.64, -123.9, 2759.26, 114.029, 268.375, -34.2132, 222.018, -152.646, 254.121, 95.5869
8, 0.00000, 2708.76, -3.54978, 2835.77, -123.894, 2759.28, 114.03, 268.371, -34.199, 222.044, -152.638, 254.107, 95.5929
9, 0.00000, 2708.93, -3.53962, 2836.26, -123.892, 2759.29, 114.03, 268.367, -34.1932, 222.052, -152.634, 254.1, 95.5957
10, 0.00000, 2708.32, -3.57669, 2834.49, -123.901, 2759.26, 114.029, 268.372, -34.2158, 222.007, -152.647, 254.121, 95.5864
11, 0.00000, 2708.27, -3.58015, 2834.32, -123.901, 2759.25, 114.029, 268.376, -34.2173, 222.009, -152.649, 254.125, 95.5852
12, 0.00000, 2708.38, -3.57341, 2834.64, -123.9, 2759.26, 114.029, 268.375, -34.2132, 222.018, -152.646, 254.121, 95.5869
13, 0.00000, 2708.76, -3.54978, 2835.77, -123.894, 2759.28, 114.03, 268.371, -34.199, 222.044, -152.638, 254.107, 95.5929
14, 0.00000, 2708.93, -3.53962, 2836.26, -123.892, 2759.29, 114.03, 268.367, -34.1932, 222.052, -152.634, 254.1, 95.5957
15, 0.00000, 2708.32, -3.57669, 2834.49, -123.901, 2759.26, 114.029, 268.372, -34.2158, 222.007, -152.647, 254.121, 95.5864
16, 0.00000, 2708.27, -3.58015, 2834.32, -123.901, 2759.25, 114.029, 268.376, -34.2173, 222.009, -152.649, 254.125, 95.5852
17, 0.00000, 2708.38, -3.57341, 2834.64, -123.9, 2759.26, 114.029, 268.375, -34.2132, 222.018, -152.646, 254.121, 95.5869
18, 0.00000, 2708.76, -3.54978, 2835.77, -123.894, 2759.28, 114.03, 268.371, -34.199, 222.044, -152.638, 254.107, 95.5929
19, 0.00000, 2708.93, -3.53962, 2836.26, -123.892, 2759.29, 114.03, 268.367, -34.1932, 222.052, -152.634, 254.1, 95.5957
20, 0.00000, 2708.32, -3.57669, 2834.49, -123.901, 2759.26, 114.029, 268.372, -34.2158, 222.007, -152.647, 254.121, 95.5864
21, 0.00000, 2708.27, -3.58015, 2834.32, -123.901, 2759.25, 114.029, 268.376, -34.2173, 222.009, -152.649, 254.125, 95.5852
22, 0.00000, 2708.49, -3.56666, 2834.96, -123.898, 2759.26, 114.029, 268.374, -34.2091, 222.025, -152.644, 254.117, 95.5886
23, 0.00000, 2708.76, -3.54977, 2835.77, -123.894, 2759.28, 114.03, 268.37, -34.1991, 222.043, -152.638, 254.107, 95.593
24, 0.00000, 2708.71, -3.5531, 2835.61, -123.895, 2759.28, 114.03, 268.37, -34.2014, 222.036, -152.639, 254.108, 95.5923
